"id","question_id","question_number","category","difficulty","domain","question_text","options","correct_answer","explanation","explanation_details","multiple_answers","correct_answers"
120,218,120,"Troubleshooting - Network Connectivity","Application","Troubleshooting","An application instance in a private subnet needs to download software updates from the internet. However, for security reasons, the instance must not be directly reachable from the internet. Which cloud networking component enables this one-way communication?","[{""text"": ""A) An Internet Gateway (IGW)"", ""isCorrect"": false}, {""text"": ""B) A Network Address Translation (NAT) Gateway"", ""isCorrect"": true}, {""text"": ""C) A Virtual Private Gateway (VGW)"", ""isCorrect"": false}, {""text"": ""D) A VPC Endpoint"", ""isCorrect"": false}]","B) A Network Address Translation (NAT) Gateway","A NAT Gateway is placed in a public subnet and allows instances in private subnets to initiate outbound traffic to the internet, while preventing the internet from initiating connections back to those private instances.","{""summary"": ""NAT Gateways provide secure outbound internet access for private subnets."", ""breakdown"": [""It has a public IP and sits in a public subnet."", ""It translates the private IP addresses of instances into its public IP for outbound requests."", ""It is a managed service, providing high availability and bandwidth.""], ""otherOptions"": ""A) An IGW allows two-way communication with the internet and must be attached to instances with public IPs.\nC) A VGW is used for connecting to on-premises networks via VPN or Direct Connect.\nD) A VPC Endpoint provides private connectivity to AWS services, not the general internet.""}","0",NULL
121,219,121,"Security - Data Sovereignty","Comprehension","Security","A European company is required by law to ensure that all of its customer data and processing activities remain within the borders of the European Union. When deploying their application to a global cloud provider, which concept is MOST critical to meet this legal requirement?","[{""text"": ""A) Data encryption"", ""isCorrect"": false}, {""text"": ""B) Region selection"", ""isCorrect"": true}, {""text"": ""C) Availability Zones"", ""isCorrect"": false}, {""text"": ""D) Network segmentation"", ""isCorrect"": false}]","B) Region selection","Data sovereignty requires that data is subject to the laws of the country in which it is located. Cloud providers operate distinct geographic regions, and selecting the correct region (e.g., an EU region like Frankfurt or Ireland) is the primary control for ensuring data resides in a specific jurisdiction.","{""summary"": ""Region selection is the primary control for data sovereignty."", ""breakdown"": [""Cloud regions are physically isolated geographic areas."", ""Data stored in a region does not leave that region unless explicitly moved by the customer."", ""This allows customers to meet compliance requirements like GDPR.""], ""otherOptions"": ""A) Encryption protects data but doesn't control its physical location.\nC) Availability Zones are within a region, so they don't address country-level requirements.\nD) Network segmentation controls traffic flow but not data's geographic location.""}","0",NULL
122,220,122,"Deployment - Deployment Strategies","Application","Deployment","A team wants to test a new feature with a small percentage of their production users before rolling it out to everyone. The goal is to monitor the new feature for errors and performance issues with minimal risk to the overall user base. Which deployment strategy should they use?","[{""text"": ""A) Blue-green deployment"", ""isCorrect"": false}, {""text"": ""B) Rolling deployment"", ""isCorrect"": false}, {""text"": ""C) Canary deployment"", ""isCorrect"": true}, {""text"": ""D) In-place deployment"", ""isCorrect"": false}]","C) Canary deployment","A canary deployment involves releasing the new version to a small subset of users (the 'canaries'). This allows the team to test the new code in a real production environment while minimizing the potential impact of any bugs.","{""summary"": ""Canary deployments are used for low-risk testing in production."", ""breakdown"": [""A small percentage of traffic (e.g., 1%, 5%) is routed to the new version."", ""Key metrics like error rates and latency are closely monitored."", ""If the new version is stable, traffic is gradually increased until all users are on the new version.""], ""otherOptions"": ""A) Blue-green deployment shifts all traffic at once between two identical environments.\nB) A rolling deployment gradually replaces old instances with new ones but doesn't target a specific subset of users.\nD) An in-place deployment updates all instances at once, which is high-risk.""}","0",NULL
123,221,123,"Operations - Observability","Advanced","Operations and Support","An e-commerce platform is built on a microservices architecture. The operations team is struggling to diagnose failures because a single user request can traverse dozens of services. Which THREE components form the 'three pillars of observability' that would provide the necessary visibility to troubleshoot this complex system? (Choose THREE)","[{""text"": ""A) Logs"", ""isCorrect"": true}, {""text"": ""B) Metrics"", ""isCorrect"": true}, {""text"": ""C) Traces"", ""isCorrect"": true}, {""text"": ""D) Alerts"", ""isCorrect"": false}, {""text"": ""E) Dashboards"", ""isCorrect"": false}, {""text"": ""F) Runbooks"", ""isCorrect"": false}]","A, B, C","The three pillars of observability are widely recognized as Logs, Metrics, and Traces. Together, they provide a comprehensive view of a system's behavior, allowing teams to understand not just *that* a problem occurred, but *why*.","{""summary"": ""Logs, Metrics, and Traces are the three pillars of observability."", ""breakdown"": [""Metrics: Aggregated numerical data over time (e.g., CPU utilization, latency) that help identify trends."", ""Logs: Timestamped, immutable records of discrete events that provide context."", ""Traces: Show the end-to-end journey of a single request as it moves through all the different services.""], ""otherOptions"": ""D, E, F) Alerts, Dashboards, and Runbooks are important operational tools, but they are consumers or presenters of observability data, not the core data types themselves.""}","1","{A,B,C}"
124,222,124,"Cloud Architecture - Virtualization","Comprehension","Cloud Architecture and Design","What is the fundamental difference between a Type 1 and a Type 2 hypervisor?","[{""text"": ""A) A Type 1 hypervisor runs directly on the host's hardware, while a Type 2 hypervisor runs on top of a conventional operating system."", ""isCorrect"": true}, {""text"": ""B) A Type 1 hypervisor is only used for containers, while a Type 2 hypervisor is used for virtual machines."", ""isCorrect"": false}, {""text"": ""C) A Type 1 hypervisor is less secure and performs worse than a Type 2 hypervisor."", ""isCorrect"": false}, {""text"": ""D) A Type 1 hypervisor is also known as a 'hosted' hypervisor, while a Type 2 is 'bare-metal'."", ""isCorrect"": false}]","A) A Type 1 hypervisor runs directly on the host's hardware, while a Type 2 hypervisor runs on top of a conventional operating system.","This is the core distinction. Type 1 (bare-metal) hypervisors are more efficient and secure as they don't have the overhead of an underlying OS, making them standard for data centers and cloud providers. Type 2 (hosted) are common for desktop use.","{""summary"": ""Type 1 is bare-metal; Type 2 is hosted on an OS."", ""breakdown"": [""Type 1 (Bare-Metal): Examples include VMware ESXi, Microsoft Hyper-V, KVM. Used in production servers."", ""Type 2 (Hosted): Examples include VMware Workstation, Oracle VirtualBox. Used for local development and testing."", ""Type 1 has lower latency and better performance due to direct hardware access.""], ""otherOptions"": ""B) Both are primarily used for virtual machines, not containers.\nC) This is reversed; Type 1 is generally more secure and performs better.\nD) This reverses the terminology.""}","0",NULL
125,223,125,"Security - Federation and SSO","Application","Security","A user authenticates to their corporate identity provider (IdP). The IdP then sends a digitally signed XML document to a third-party SaaS application (the service provider) that confirms the user's identity and grants them access. What is this XML document called?","[{""text"": ""A) A Kerberos ticket"", ""isCorrect"": false}, {""text"": ""B) A SAML assertion"", ""isCorrect"": true}, {""text"": ""C) A JSON Web Token (JWT)"", ""isCorrect"": false}, {""text"": ""D) An OAuth access token"", ""isCorrect"": false}]","B) A SAML assertion","In a SAML-based federation workflow, a SAML assertion is the XML-based security token that the Identity Provider sends to the Service Provider. It contains statements about the user's identity, attributes, and authorization decisions.","{""summary"": ""SAML assertions are the core of SAML-based identity federation."", ""breakdown"": [""It is an XML document containing security information."", ""It is digitally signed by the IdP to ensure its integrity and authenticity."", ""It allows the Service Provider to trust the user's identity without needing their password.""], ""otherOptions"": ""A) Kerberos is a different authentication protocol often used in on-premises Windows environments.\nC) JWT is a more modern, JSON-based token format, but the question specifies XML.\nD) OAuth is a framework for authorization (delegating access), not primarily for authentication.""}","0",NULL
126,224,126,"Troubleshooting - Performance Bottlenecks","Advanced","Troubleshooting","An application is experiencing slow response times. A cloud administrator analyzes the system's performance metrics and finds the following: CPU Utilization (25%), Memory Utilization (40%), Network Throughput (30% of limit), Storage IOPS (99% of limit). Where is the performance bottleneck?","[{""text"": ""A) Compute (CPU)"", ""isCorrect"": false}, {""text"": ""B) Memory (RAM)"", ""isCorrect"": false}, {""text"": ""C) Network"", ""isCorrect"": false}, {""text"": ""D) Storage I/O"", ""isCorrect"": true}]","D) Storage I/O","The bottleneck is the component that is operating at or near its maximum capacity, thereby limiting the performance of the entire system. In this case, Storage IOPS are at 99% of their limit, while all other key resources have significant headroom.","{""summary"": ""The resource at maximum capacity is the bottleneck."", ""breakdown"": [""CPU at 25% indicates it is not the bottleneck."", ""Memory at 40% indicates it is not the bottleneck."", ""Network at 30% indicates it is not the bottleneck."", ""Storage IOPS at 99% is the clear limiting factor for the application's performance.""], ""otherOptions"": ""A, B, C) All other listed resources have ample capacity and are not causing the slowdown.""}","0",NULL
127,225,127,"Cloud Concepts","Knowledge","Cloud Architecture and Design","Bob is accessing a self-service portal in the cloud to instantly create additional servers, storage, and database instances for his firm’s DevOps group. Which of the following options best describes this operation?","[{""text"": ""A) On-demand"", ""isCorrect"": true}, {""text"": ""B) Bursting"", ""isCorrect"": false}, {""text"": ""C) Pay-as-you-grow"", ""isCorrect"": false}, {""text"": ""D) Multitenancy"", ""isCorrect"": false}]","A) On-demand","On-demand self-service is a key characteristic of cloud computing, allowing users to provision resources automatically without requiring human interaction from the service provider.","{""summary"": ""This scenario describes on-demand self-service."", ""breakdown"": [""Users can provision resources as needed."", ""The process is automated and instantaneous."", ""It is one of the five essential characteristics of cloud computing defined by NIST.""], ""otherOptions"": ""B) Bursting refers to scaling from a private to a public cloud for peak demand.\nC) Pay-as-you-grow is a pricing model, not the act of provisioning.\nD) Multitenancy is the architecture where a single software instance serves multiple customers.""}","0",NULL
128,226,128,"Deployment Models","Comprehension","Cloud Architecture and Design","Jillian is working on a project to interconnect her company’s private data center to a cloud company that offers email services and another that can provide burstable compute capacity. What type of cloud delivery model is she creating?","[{""text"": ""A) Public"", ""isCorrect"": false}, {""text"": ""B) Hybrid"", ""isCorrect"": true}, {""text"": ""C) Community"", ""isCorrect"": false}, {""text"": ""D) Private"", ""isCorrect"": false}]","B) Hybrid","A hybrid cloud model is composed of two or more distinct cloud infrastructures (private, community, or public) that remain unique entities but are bound together by standardized or proprietary technology that enables data and application portability.","{""summary"": ""This describes a Hybrid cloud model."", ""breakdown"": [""It combines a private data center (private cloud) with public cloud services."", ""This model allows organizations to leverage public cloud benefits while keeping sensitive data on-premises."", ""The key is the interconnection between the different environments.""], ""otherOptions"": ""A) A public cloud is entirely hosted by a third-party provider.\nC) A community cloud is shared by several organizations with common concerns.\nD) A private cloud is operated solely for a single organization.""}","0",NULL
129,227,129,"Cloud Concepts","Knowledge","Cloud Architecture and Design","Carl is learning how cloud service providers allocate physical resources into a group. These resources are then dynamically associated with cloud services as demand requires. What best describes this?","[{""text"": ""A) On-demand virtualization"", ""isCorrect"": false}, {""text"": ""B) Dynamic scaling"", ""isCorrect"": false}, {""text"": ""C) Resource pooling"", ""isCorrect"": true}, {""text"": ""D) Elasticity"", ""isCorrect"": false}]","C) Resource pooling","Resource pooling is the concept where a cloud provider’s computing resources are pooled to serve multiple consumers using a multi-tenant model, with different physical and virtual resources dynamically assigned and reassigned according to consumer demand.","{""summary"": ""This is the definition of resource pooling."", ""breakdown"": [""Providers serve multiple customers from a shared pool of physical hardware."", ""Resources are dynamically assigned based on demand."", ""This is what enables the efficiency and scale of public cloud services.""], ""otherOptions"": ""B) Dynamic scaling is a result of resource pooling, not the concept itself.\nD) Elasticity is the ability to scale resources up and down, which is enabled by resource pooling.""}","0",NULL
130,228,130,"Service Models","Application","Cloud Architecture and Design","Liza is a new Cloud+ architect for BigCo Inc. She is investigating cloud services that provide server hardware, but not applications. What cloud service is she using?","[{""text"": ""A) IaaS"", ""isCorrect"": true}, {""text"": ""B) PaaS"", ""isCorrect"": false}, {""text"": ""C) SaaS"", ""isCorrect"": false}, {""text"": ""D) CaaS"", ""isCorrect"": false}]","A) IaaS","Infrastructure as a Service (IaaS) is the cloud service model that provides fundamental computing resources such as virtual servers, storage, and networking. The customer is responsible for the operating system and applications.","{""summary"": ""IaaS provides the foundational infrastructure."", ""breakdown"": [""The customer rents IT infrastructure—servers and virtual machines (VMs), storage, networks, operating systems."", ""It offers the most control over the hardware and OS."", ""Examples include AWS EC2, Azure VMs, and Google Compute Engine.""], ""otherOptions"": ""B) PaaS provides a platform and abstracts the OS.\nC) SaaS provides the entire application.\nD) CaaS (Containers as a Service) is a subset of IaaS focused on containers.""}","0",NULL
131,229,131,"Service Models","Application","Cloud Architecture and Design","Harold is investigating his options to migrate his company’s time and attendance application to the cloud. He wants to be responsible only for maintaining the application and would prefer that the public cloud company manage all underlying infrastructure and servers. What would you suggest that he implement?","[{""text"": ""A) IaaS"", ""isCorrect"": false}, {""text"": ""B) PaaS"", ""isCorrect"": true}, {""text"": ""C) SaaS"", ""isCorrect"": false}, {""text"": ""D) CaaS"", ""isCorrect"": false}]","B) PaaS","Platform as a Service (PaaS) provides a platform allowing customers to develop, run, and manage applications without the complexity of building and maintaining the infrastructure typically associated with developing and launching an app.","{""summary"": ""PaaS is the best fit for this requirement."", ""breakdown"": [""The cloud provider manages the OS, middleware, and runtime."", ""The customer is only responsible for their application and data."", ""This model accelerates development and reduces operational overhead.""], ""otherOptions"": ""A) IaaS would require Harold to manage the OS and servers.\nC) SaaS would involve using a pre-built application, not migrating his own.\nD) CaaS focuses on container management, but PaaS is a broader and better fit.""}","0",NULL
132,230,132,"Shared Responsibility","Comprehension","Security","Jane is a Cloud+ architect who is working to educate her staff on the shared responsibility security model. In an IaaS deployment, which of the following is Jane’s company responsible for securing?","[{""text"": ""A) The virtualization software"", ""isCorrect"": false}, {""text"": ""B) The physical servers"", ""isCorrect"": false}, {""text"": ""C) The guest operating system"", ""isCorrect"": true}, {""text"": ""D) The storage arrays"", ""isCorrect"": false}]","C) The guest operating system","In the IaaS shared responsibility model, the customer is responsible for everything from the guest operating system upwards. This includes patching the OS, configuring it securely, and managing all applications and data running on it.","{""summary"": ""In IaaS, the customer manages the Guest OS and above."", ""breakdown"": [""Cloud Provider Responsibility: Physical data center, network infrastructure, virtualization hypervisor."", ""Customer Responsibility: Guest OS, middleware, runtime, applications, and data security.""], ""otherOptions"": ""A, B, D) The virtualization software, physical servers, and storage arrays are all part of the underlying infrastructure managed by the cloud provider.""}","0",NULL
133,231,133,"Cloud Concepts","Comprehension","Cloud Architecture and Design","A cloud provider has three data centers in close proximity, all interconnected with low-latency, high-bandwidth links. They are designed so that a failure in one does not affect the others. What does this grouping of data centers represent?","[{""text"": ""A) A region"", ""isCorrect"": false}, {""text"": ""B) An availability zone"", ""isCorrect"": true}, {""text"": ""C) A storage array"", ""isCorrect"": false}, {""text"": ""D) A server rack"", ""isCorrect"": false}]","B) An availability zone","While the term can sometimes refer to a single data center, an Availability Zone (AZ) is a fault-tolerant construct typically made of one or more data centers with redundant power, networking, and cooling. They are designed to be isolated from failures in other AZs.","{""summary"": ""This describes an Availability Zone (AZ)."", ""breakdown"": [""An AZ is a location with one or more data centers."", ""They are designed for high availability and fault tolerance."", ""Multiple AZs are grouped together to form a Region.""], ""otherOptions"": ""A) A region is a larger geographic area that contains multiple AZs.\nC, D) Storage arrays and server racks are components within a data center.""}","0",NULL
134,232,134,"Security","Comprehension","Security","You are migrating a sensitive application to the cloud and need to ensure that the virtual servers are not running on the same physical hardware as any other customer. Which tenancy model should you select?","[{""text"": ""A) Multitenant"", ""isCorrect"": false}, {""text"": ""B) Dedicated host"", ""isCorrect"": true}, {""text"": ""C) Containerized"", ""isCorrect"": false}, {""text"": ""D) Serverless"", ""isCorrect"": false}]","B) Dedicated host","A dedicated host provides a physical server that is fully dedicated for your use. This ensures complete isolation from other customers at the hardware level, which is often a requirement for compliance or licensing reasons.","{""summary"": ""Dedicated host tenancy provides physical isolation."", ""breakdown"": [""The customer gets an entire physical server."", ""It helps meet compliance requirements for physical isolation."", ""It can be more expensive than standard multi-tenant instances.""], ""otherOptions"": ""A) Multitenant is the standard model where you share hardware.\nC) Containerization provides OS-level isolation but not hardware isolation.\nD) Serverless is an execution model and does not provide hardware isolation.""}","0",NULL
135,233,135,"Networking","Knowledge","Cloud Architecture and Design","Your company has a hybrid cloud deployment and requires a consistent, high-bandwidth, low-latency private connection between your on-premises data center and the cloud provider. Which of the following services should be used?","[{""text"": ""A) Site-to-Site VPN"", ""isCorrect"": false}, {""text"": ""B) Direct Connect / ExpressRoute"", ""isCorrect"": true}, {""text"": ""C) Client VPN"", ""isCorrect"": false}, {""text"": ""D) NAT Gateway"", ""isCorrect"": false}]","B) Direct Connect / ExpressRoute","Direct Connect (AWS) and ExpressRoute (Azure) are dedicated private network connection services. They bypass the public internet to provide a more reliable, faster, and lower-latency connection between an on-premises environment and the cloud.","{""summary"": ""A dedicated, private connection is the best solution."", ""breakdown"": [""Provides a private, dedicated link, not over the public internet."", ""Offers higher bandwidth and more consistent network performance than VPN."", ""It is the preferred method for enterprise-grade hybrid cloud connectivity.""], ""otherOptions"": ""A) A site-to-site VPN runs over the public internet and has variable performance.\nC) A client VPN is for individual users, not for connecting data centers.\nD) A NAT Gateway is for outbound internet access from private subnets.""}","0",NULL
136,234,136,"Cloud Concepts","Comprehension","Cloud Architecture and Design","What is the term for a cloud architecture that uses services from more than one cloud provider to leverage the best features of each?","[{""text"": ""A) Hybrid cloud"", ""isCorrect"": false}, {""text"": ""B) Multicloud"", ""isCorrect"": true}, {""text"": ""C) Community cloud"", ""isCorrect"": false}, {""text"": ""D) Private cloud"", ""isCorrect"": false}]","B) Multicloud","A multicloud strategy involves using two or more cloud computing services from different cloud providers. This can be done to avoid vendor lock-in, for cost savings, or to use the best-of-breed services from each provider.","{""summary"": ""Using multiple providers is known as multicloud."", ""breakdown"": [""It avoids dependency on a single vendor."", ""Allows for leveraging unique services from different providers (e.g., Google for AI, AWS for serverless)."", ""Can improve resilience and availability.""], ""otherOptions"": ""A) Hybrid cloud specifically refers to a mix of on-premises and public cloud.\nC) A community cloud is shared by organizations with a common goal.\nD) A private cloud is a single-tenant environment.""}","0",NULL
137,235,137,"Migration","Knowledge","Deployment","A company wants to move a legacy application to the cloud as quickly as possible with the fewest changes to the application itself. What is this migration strategy commonly called?","[{""text"": ""A) Re-architecting"", ""isCorrect"": false}, {""text"": ""B) Replatforming"", ""isCorrect"": false}, {""text"": ""C) Lift and shift"", ""isCorrect"": true}, {""text"": ""D) Repurchasing"", ""isCorrect"": false}]","C) Lift and shift","Lift and shift, also known as rehosting, is a migration strategy where you move an application from on-premises to the cloud with minimal or no changes. It is the fastest way to start taking advantage of cloud infrastructure.","{""summary"": ""This strategy is called Lift and Shift (Rehosting)."", ""breakdown"": [""Involves moving the application with minimal modifications."", ""It is the quickest migration path."", ""The application may not be optimized for the cloud, but this can be done later in a phased approach.""], ""otherOptions"": ""A) Re-architecting involves significant changes to the application to make it cloud-native.\nB) Replatforming involves minor changes to take advantage of cloud services like managed databases.\nD) Repurchasing means switching to a different product, often a SaaS solution.""}","0",NULL
138,236,138,"Service Models","Comprehension","Cloud Architecture and Design","Frank is looking for a cloud service that will allow him to deploy his custom application but does not want to manage the underlying operating system. Which of the following cloud service models would you recommend to him?","[{""text"": ""A) IaaS"", ""isCorrect"": false}, {""text"": ""B) PaaS"", ""isCorrect"": true}, {""text"": ""C) SaaS"", ""isCorrect"": false}, {""text"": ""D) DaaS"", ""isCorrect"": false}]","B) PaaS","Platform as a Service (PaaS) provides the platform—including the operating system, middleware, and runtime—for developers to build and deploy applications without managing the underlying infrastructure.","{""summary"": ""PaaS is the ideal model for this scenario."", ""breakdown"": [""The provider manages the OS, patching, and server maintenance."", ""The developer focuses only on the application code and data."", ""This accelerates the development lifecycle.""], ""otherOptions"": ""A) IaaS would require Frank to manage the OS.\nC) SaaS would mean using a pre-existing application, not deploying his own.\nD) DaaS (Desktop as a Service) provides virtual desktops.""}","0",NULL
139,237,139,"Storage","Knowledge","Cloud Architecture and Design","What type of cloud storage is best suited for storing and serving large, unstructured data such as videos, images, and backups?","[{""text"": ""A) Block storage"", ""isCorrect"": false}, {""text"": ""B) File storage"", ""isCorrect"": false}, {""text"": ""C) Object storage"", ""isCorrect"": true}, {""text"": ""D) Ephemeral storage"", ""isCorrect"": false}]","C) Object storage","Object storage is designed to store massive quantities of unstructured data. Data is stored as objects, each with its own unique identifier, metadata, and the data itself. It is highly scalable and durable.","{""summary"": ""Object storage is best for unstructured data."", ""breakdown"": [""Stores data in a flat structure, not a file hierarchy."", ""Accessed via APIs (typically REST)."", ""Extremely scalable and cost-effective for large datasets."", ""Common use cases include backups, archives, data lakes, and static website assets.""], ""otherOptions"": ""A) Block storage provides raw volumes for servers, like a hard drive.\nB) File storage provides a hierarchical file system (like NFS or SMB).\nD) Ephemeral storage is temporary and is lost when an instance stops.""}","0",NULL
140,238,140,"Business Continuity","Comprehension","Operations and Support","A company has defined that in the event of a disaster, they can tolerate losing up to 4 hours of data. What does this metric define?","[{""text"": ""A) Recovery Time Objective (RTO)"", ""isCorrect"": false}, {""text"": ""B) Recovery Point Objective (RPO)"", ""isCorrect"": true}, {""text"": ""C) Mean Time Between Failures (MTBF)"", ""isCorrect"": false}, {""text"": ""D) Service Level Agreement (SLA)"", ""isCorrect"": false}]","B) Recovery Point Objective (RPO)","The Recovery Point Objective (RPO) is a disaster recovery metric that defines the maximum acceptable amount of data loss, measured in time. An RPO of 4 hours means backups must be performed at least every 4 hours.","{""summary"": ""This metric is the Recovery Point Objective (RPO)."", ""breakdown"": [""RPO is about data loss tolerance."", ""It dictates the minimum frequency of backups or replication."", ""A lower RPO generally means a more expensive disaster recovery solution.""], ""otherOptions"": ""A) RTO is the target time to restore the service, i.e., the acceptable downtime.\nC) MTBF is a measure of reliability, not a disaster recovery target.\nD) SLA is a formal agreement on service uptime and performance.""}","0",NULL
141,239,141,"Business Continuity","Comprehension","Operations and Support","What is the key difference between a hot site and a cold site for disaster recovery?","[{""text"": ""A) A hot site is fully operational and ready for immediate failover; a cold site has only the basic infrastructure and requires significant setup."", ""isCorrect"": true}, {""text"": ""B) A hot site is located in a warm climate; a cold site is in a cold climate."", ""isCorrect"": false}, {""text"": ""C) A hot site uses physical servers; a cold site uses virtual servers."", ""isCorrect"": false}, {""text"": ""D) A hot site is for short-term outages; a cold site is for long-term outages."", ""isCorrect"": false}]","A) A hot site is fully operational and ready for immediate failover; a cold site has only the basic infrastructure and requires significant setup.","A hot site is a fully redundant data center with real-time data synchronization, allowing for near-instantaneous failover. A cold site is just a space with power and cooling, requiring equipment and data to be brought in, leading to a long recovery time.","{""summary"": ""Hot sites are ready immediately; cold sites are not."", ""breakdown"": [""Hot Site: Fully equipped, data is replicated, allows for very low RTO."", ""Warm Site: Has hardware but requires data restoration."", ""Cold Site: Basically an empty data center, has the longest RTO.""], ""otherOptions"": ""B) The terms are unrelated to climate.\nC) Both can use either physical or virtual servers.\nD) The choice depends on the required RTO, not the duration of the outage.""}","0",NULL
142,240,142,"Security","Application","Security","You are setting up a security group for a web server. Which of the following inbound rules is the most appropriate and secure configuration?","[{""text"": ""A) Allow ALL traffic from source 0.0.0.0/0"", ""isCorrect"": false}, {""text"": ""B) Allow TCP port 22 (SSH) from source 0.0.0.0/0"", ""isCorrect"": false}, {""text"": ""C) Allow TCP ports 80 (HTTP) and 443 (HTTPS) from source 0.0.0.0/0"", ""isCorrect"": true}, {""text"": ""D) Allow TCP port 3389 (RDP) from source 0.0.0.0/0"", ""isCorrect"": false}]","C) Allow TCP ports 80 (HTTP) and 443 (HTTPS) from source 0.0.0.0/0","A web server needs to accept incoming traffic from 'any IP' address (0.0.0.0/0) on the standard web ports, which are TCP 80 for HTTP and TCP 443 for HTTPS. All other ports should be restricted.","{""summary"": ""A secure web server only exposes necessary web ports."", ""breakdown"": [""Port 80 is for HTTP traffic."", ""Port 443 is for HTTPS (secure) traffic."", ""The source 0.0.0.0/0 means 'any IP address on the internet'."", ""This follows the principle of least privilege by only opening the ports required for its function.""], ""otherOptions"": ""A) Allowing all traffic is extremely insecure.\nB, D) Opening management ports like SSH or RDP to the entire internet is a major security risk and should be restricted to specific admin IPs.""}","0",NULL
143,241,143,"Cloud Concepts","Comprehension","Cloud Architecture and Design","What does the term 'elasticity' refer to in the context of cloud computing?","[{""text"": ""A) The ability of a system to remain operational despite component failures."", ""isCorrect"": false}, {""text"": ""B) The ability to automatically scale computing resources up and down to match demand."", ""isCorrect"": true}, {""text"": ""C) The ability to access services from anywhere over the network."", ""isCorrect"": false}, {""text"": ""D) The pooling of provider resources to serve multiple customers."", ""isCorrect"": false}]","B) The ability to automatically scale computing resources up and down to match demand.","Elasticity is the ability of the cloud to automatically and dynamically add or remove resources (like VMs or containers) to meet the current workload demand. This is a key benefit that prevents over-provisioning and reduces cost.","{""summary"": ""Elasticity is the automatic scaling of resources."", ""breakdown"": [""Scaling up (or out) to handle increases in load."", ""Scaling down (or in) to save money when demand decreases."", ""This process is typically automated based on metrics like CPU utilization or request count.""], ""otherOptions"": ""A) This describes fault tolerance or high availability.\nC) This describes broad network access.\nD) This describes resource pooling.""}","0",NULL
144,242,144,"Networking","Knowledge","Troubleshooting","A network administrator is troubleshooting an issue where a user cannot resolve a website's domain name, such as www.example.com, to its IP address. Which service is most likely experiencing a problem?","[{""text"": ""A) DHCP"", ""isCorrect"": false}, {""text"": ""B) DNS"", ""isCorrect"": true}, {""text"": ""C) NAT"", ""isCorrect"": false}, {""text"": ""D) BGP"", ""isCorrect"": false}]","B) DNS","The Domain Name System (DNS) is responsible for translating human-readable domain names into the IP addresses that computers use to connect to each other. If this translation fails, the user cannot connect to the website.","{""summary"": ""DNS handles domain name to IP address translation."", ""breakdown"": [""DNS acts like the phonebook of the internet."", ""When you type a domain name, your computer queries a DNS server to get the corresponding IP address."", ""Failure in this process is a common cause of connectivity issues.""], ""otherOptions"": ""A) DHCP assigns IP addresses to devices on a local network.\nC) NAT translates private IP addresses to public ones for internet access.\nD) BGP is a routing protocol used by internet service providers.""}","0",NULL
145,243,145,"DevOps","Knowledge","Deployment","What is the primary goal of Continuous Integration (CI) in a DevOps workflow?","[{""text"": ""A) To automatically deploy every change directly to production."", ""isCorrect"": false}, {""text"": ""B) To frequently merge developer code changes into a central repository and run automated builds and tests."", ""isCorrect"": true}, {""text"": ""C) To manage and provision infrastructure using code."", ""isCorrect"": false}, {""text"": ""D) To monitor the application and infrastructure for performance issues."", ""isCorrect"": false}]","B) To frequently merge developer code changes into a central repository and run automated builds and tests.","Continuous Integration (CI) is a DevOps practice where developers regularly merge their code changes into a central repository, after which automated builds and tests are run. The key goals are to find and address bugs quicker, improve software quality, and reduce the time it takes to validate and release new software updates.","{""summary"": ""CI is about frequent integration and automated testing."", ""breakdown"": [""Developers commit code to a shared repository multiple times a day."", ""An automated system builds the application and runs a suite of tests."", ""This provides rapid feedback, allowing teams to find and fix bugs early.""], ""otherOptions"": ""A) This describes Continuous Deployment, which is a subsequent step.\nC) This is Infrastructure as Code (IaC).\nD) This is Continuous Monitoring.""}","0",NULL
146,244,146,"Deployment","Application","Deployment","A company wants to deploy a new version of their web application with zero downtime. The strategy involves setting up a completely new, identical environment with the new version, testing it, and then switching all user traffic from the old environment to the new one instantly. What is this deployment strategy called?","[{""text"": ""A) Canary deployment"", ""isCorrect"": false}, {""text"": ""B) Rolling deployment"", ""isCorrect"": false}, {""text"": ""C) Blue-green deployment"", ""isCorrect"": true}, {""text"": ""D) In-place deployment"", ""isCorrect"": false}]","C) Blue-green deployment","In a blue-green deployment, you create two separate, but identical, environments. One environment (blue) is running the current application version and one environment (green) is running the new application version. You can then switch traffic instantly from blue to green. This provides zero downtime and a rapid way to roll back if issues are found.","{""summary"": ""This is a blue-green deployment strategy."", ""breakdown"": [""Two identical production environments are maintained."", ""Traffic is routed to only one environment at a time."", ""This allows for safe testing of the new version before release and provides instant rollback capability.""], ""otherOptions"": ""A) A canary deployment releases the new version to a small subset of users first.\nB) A rolling deployment gradually replaces old instances with new ones.\nD) An in-place deployment updates the code on the existing instances, causing downtime.""}","0",NULL
